서비스_업종_코드,서비스_업종_코드_명
CS100001,한식음식점
CS100002,중식음식점
CS100003,일식음식점
CS100004,양식음식점
CS100005,제과점
CS100006,패스트푸드점
CS100007,치킨전문점
CS100008,분식전문점
CS100009,호프-간이주점
CS100010,커피-음료
CS200019,PC방
CS300009,청과상
CS300010,반찬가게
