상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
3130150,창동골목시장,CS100008,분식전문점,3,5,0,0,20,1,2
3130150,창동골목시장,CS100009,호프-간이주점,12,12,0,0,0,0,0
3130150,창동골목시장,CS100010,커피-음료,5,5,0,0,0,0,0
3130150,창동골목시장,CS300009,청과상,9,9,0,0,0,0,0
3130150,창동골목시장,CS300010,반찬가게,5,5,0,0,0,0,0
3130151,신도봉시장,CS100001,한식음식점,4,6,0,0,0,0,2
3130151,신도봉시장,CS100007,치킨전문점,1,2,0,0,0,0,1
3130151,신도봉시장,CS100008,분식전문점,1,1,0,0,0,0,0
3130151,신도봉시장,CS100010,커피-음료,2,2,0,0,0,0,0
3130151,신도봉시장,CS300009,청과상,2,2,0,0,0,0,0
3130151,신도봉시장,CS300010,반찬가게,2,2,0,0,0,0,0
3130152,오!도봉거리 상점가,CS100001,한식음식점,7,7,0,0,0,0,0
3130152,오!도봉거리 상점가,CS100004,양식음식점,1,1,0,0,0,0,0
3130152,오!도봉거리 상점가,CS100007,치킨전문점,1,1,0,0,0,0,0
3130152,오!도봉거리 상점가,CS100008,분식전문점,1,1,0,0,0,0,0
3130152,오!도봉거리 상점가,CS100009,호프-간이주점,7,7,0,0,0,0,0
3130152,오!도봉거리 상점가,CS100010,커피-음료,3,3,0,0,0,0,0
3130152,오!도봉거리 상점가,CS300009,청과상,1,1,0,0,0,0,0
3130153,창동역상점가,CS100001,한식음식점,42,48,4,2,4,2,6
3130153,창동역상점가,CS100002,중식음식점,4,4,25,1,50,2,0
3130153,창동역상점가,CS100003,일식음식점,2,2,0,0,0,0,0
3130153,창동역상점가,CS100004,양식음식점,0,1,0,0,0,0,1
3130153,창동역상점가,CS100005,제과점,0,3,0,0,0,0,3
3130153,창동역상점가,CS100006,패스트푸드점,2,2,0,0,0,0,0
3130153,창동역상점가,CS100007,치킨전문점,1,7,0,0,0,0,6
3130153,창동역상점가,CS100008,분식전문점,4,8,0,0,0,0,4
3130153,창동역상점가,CS100009,호프-간이주점,21,25,0,0,0,0,4
3130153,창동역상점가,CS100010,커피-음료,6,10,0,0,0,0,4
3130153,창동역상점가,CS200019,PC방,3,4,0,0,0,0,1
3130153,창동역상점가,CS300009,청과상,1,1,0,0,0,0,0
3130153,창동역상점가,CS300010,반찬가게,2,2,0,0,0,0,0
